VID	NAME	Use	Format	TypeSize	Classification	Unit	Min	Max	Value	Default	Description
100274	ULCLeftCenterPositionY	True	FLOAT8	1	ECV	mm	-100	300	-0.465	0	
100275	ULCRightCenterPositionX	True	FLOAT8	1	ECV	mm	-100	300	-0.233	0	
100276	ULCRightCenterPositionY	True	FLOAT8	1	ECV	mm	-100	300	-0.196	0	
100277	ULCLeftCameraAngle	True	FLOAT8	1	ECV	deg	-100	300	0.048343	0	
100278	ULCRightCameraAngle	True	FLOAT8	1	ECV	deg	-100	300	-0.210603	0	
100279	ColletAngle_Right	True	FLOAT8	1	ECV	deg	-359	359	-0.305	0	
100280	ColletAngle_Left	True	FLOAT8	1	ECV	deg	-359	359	-1.043	0	
100281	PickerSpeedForGlassJigPick_ForULCCalibration	True	FLOAT8	1	ECV	mm/s	-359	359	5	0	
100282	JigAlign_RetryCount_ForULCCalbration	True	INT4	1	ECV	deg	-10	300	4	0	
100283	JigAlignResult_BeforeAlignX_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	300	-0.001	0	
100284	JigAlignResult_BeforeAlignY_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	300	-0.002	0	
100285	JigAlignResult_BeforeAlignT_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	300	-1.026	0	
100286	JigAlignResult_AfterAlignX_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	300	-0.001	0	
100287	JigAlignResult_AfterAlignY_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	300	-0.002	0	
100288	JigAlignResult_AfterAlignT_ForULCCalibration	True	FLOAT8	1	ECV	mm	-10	300	-0.003	0	
100289	AutoHeightSpeed_ForULCCalibratioinJig	True	FLOAT8	1	ECV	mm/s	-359	359	0.5	0	
100290	AutoHeight_StartDistance_ForULCCalibratioinJig	True	FLOAT8	1	ECV	mm	0	10	2	0	
100291	AutoHeight_MeasureDistance_ForULCCalibratioinJig	True	FLOAT8	1	ECV	mm	0	10	4	0	
100292	TouchDetectEncoderValue_ForULCCalibratioinJig	True	FLOAT8	1	ECV	mm	-359	359	0.2	0	
100293	SearchDownSpeed_ForULCCalibrationJig	True	FLOAT8	1	ECV	mm/s	-359	359	0.5	1	
100294	SearchDownDistance_ForULCCalibrationJig	True	FLOAT8	1	ECV	mm	-359	359	2	1	
100295	SlowUpDistance_ForULCCalibrationJig	True	FLOAT8	1	ECV	mm	-359	359	2	1	
100296	SlowUpSpeed_ForULCCalibrationJig	True	FLOAT8	1	ECV	mm/s	-359	359	0.5	1	
100297	AngleResultLimit_ForULCCalibrationJig	True	INT4	1	ECV	mm	-100	300	3	5	
100298	ToolJigAngleDifferenceLimit_ForULCCalibrationJig	True	INT4	1	ECV	mm	-10	300	5	5	
100299	GlassJigInspectionResultX_PickerLeft	True	FLOAT8	1	ECV	mm	-100	300	-0.177	0	
100300	GlassJigInspectionResultY_PickerLeft	True	FLOAT8	1	ECV	mm	-100	300	0.093	0	
100301	GlassJigInspectionResultT_PickerLeft	True	FLOAT8	1	ECV	deg	-100	300	-0.109	0	
100302	GlassJigInspectionResultX_PickerRight	True	FLOAT8	1	ECV	mm	-100	300	-0.097	0	
100303	GlassJigInspectionResultY_PickerRight	True	FLOAT8	1	ECV	mm	-100	300	-0.091	0	
100304	GlassJigInspectionResultT_PickerRight	True	FLOAT8	1	ECV	deg	-100	300	0.211	0	
100305	PickToolInspectionResultX_PickerLeft	True	FLOAT8	1	ECV	mm	-100	300	-0.051	0	
100306	PickToolInspectionResultY_PickerLeft	True	FLOAT8	1	ECV	mm	-100	300	0.038	0	
100307	PickToolInspectionResultT_PickerLeft	True	FLOAT8	1	ECV	deg	-100	300	-0.029	0	
100308	PickToolInspectionResultX_PickerRight	True	FLOAT8	1	ECV	mm	-100	300	0	0	
100309	PickToolInspectionResultY_PickerRight	True	FLOAT8	1	ECV	mm	-100	300	-0.007	0	
100310	PickToolInspectionResultT_PickerRight	True	FLOAT8	1	ECV	deg	-100	300	0.209	0	
100311	AutoHeightStartDistanceForPicker	True	FLOAT8	1	ECV	mm	-359	359	2	0	
100312	AutoHeightExecuteDistanceForPicker	True	FLOAT8	1	ECV	mm	-359	359	5	0	
100313	AutoHeightSpeedForPicker	True	FLOAT8	1	ECV	mm	-359	359	0.1	0	
100314	ForceCalibration_FastDownSpeed	True	FLOAT8	1	ECV	mm/s	-10	300	1	0	
100315	ForceCalibration_SlowDownSpeed	True	FLOAT8	1	ECV	mm/s	-10	300	0.1	0	
100316	ForceCalibration_SlowDistance	True	FLOAT8	1	ECV	mm	-10	300	2	0	
100317	ForceCalibration_AutoHeightOverDistance	True	FLOAT8	1	ECV	mm	-10	300	2	0	
100318	ForceCalibration_ZeroCurrentForce_Left	True	FLOAT8	1	ECV	gF	-10	300	175	0	
100319	ForceCalibration_ZeroCurrentForce_Right	True	FLOAT8	1	ECV	gF	-15	300	181	0	
100320	UseAutoHeightTouchEncoderZeroCurrentForce	True	BOOL	1	ECV	Boolean	0	1	1	0	
100321	GlassJigBondingPositionX_ForULC_PBICalibration	True	FLOAT8	1	ECV	mm	-300	300	30.164	0	
100322	GlassJigBondingPositionY_ForULC_PBICalibration	True	FLOAT8	1	ECV	mm	-400	400	-188.84	0	
100323	GlassJigBondingVisionResultX_ForULC_PBICalibration	True	FLOAT8	1	ECV	mm	-400	400	0		
100324	GlassJigBondingVisionResultY_ForULC_PBICalibration	True	FLOAT8	1	ECV	mm	-400	400	0.021		
100325	GlassJigBondingVisionResultT_ForULC_PBICalibration	True	FLOAT8	1	ECV	deg	-100	300	0.633	0	
100326	GlassJigSizeX_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100327	GlassJigSizeY_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100328	GlassJigThickness_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100329	GlassJigPitchSupplyX_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100330	GlassJigPitchSupplyY_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100331	GlassJigPitchSortingX_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100332	GlassJigPitchSortingY_ForPBICalibration	True	FLOAT8	1	ECV	mm	-100	100	0		
100333	FirstPickIndexPosiitonX_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	84.495		
100334	FirstPickIndexPosiitonY_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	-13.428		
100335	FirstPickIndexPosiitonT_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	89.656	0	
100336	AngleCalibrationPosiiton1X_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	100.32	0	
100337	AngleCalibrationPosiiton1Y_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	70.928	0	
100338	AngleCalibrationPosiiton2X_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	-99.644	0	
100339	AngleCalibrationPosiiton2Y_ForPBICalibration	True	FLOAT8	1	ECV	mm	-300	300	71.737	0	
100340	AngleCalibrationVisionScene1	True	ASCII	128	ECV				WAFER_JIG_DOT_INSPECTION_2	WAFER_JIG_DOT_INSPECTION	
100341	AngleCalibrationVisionScene2	True	ASCII	128	ECV				WAFER_JIG_DOT_INSPECTION	WAFER_JIG_DOT_INSPECTION	
100342	SortingStage_Flatness_Distance	True	FLOAT8	1	ECV	mm	-300	300	70		
100343	SortingStage_Flatness_Center_Left	True	FLOAT8	1	ECV	mm	0	100	1.0424		
100344	SortingStage_Flatness_Center_Right	True	FLOAT8	1	ECV	mm	0	100	1.0284		
100345	SortingStage_Flatness_Center_Top	True	FLOAT8	1	ECV	mm	0	100	1.02		
100346	SortingStage_Flatness_Center_Bottom	True	FLOAT8	1	ECV	mm	0	100	1.0364		
100347	SortingStage_Flatness_Left_Left	True	FLOAT8	1	ECV	mm	0	100	0.55		
100348	SortingStage_Flatness_Left_Right	True	FLOAT8	1	ECV	mm	0	100	0.5544		
100349	SortingStage_Flatness_Left_Top	True	FLOAT8	1	ECV	mm	0	100	0.5448		
100350	SortingStage_Flatness_Left_Bottom	True	FLOAT8	1	ECV	mm	0	100	0.5576		
100351	SortingStage_Flatness_Right_Left	True	FLOAT8	1	ECV	mm	0	100	0.6092		
100352	SortingStage_Flatness_Right_Right	True	FLOAT8	1	ECV	mm	0	100	0.616		
100353	SortingStage_Flatness_Right_Top	True	FLOAT8	1	ECV	mm	0	100	0.62		
100354	SortingStage_Flatness_Right_Bottom	True	FLOAT8	1	ECV	mm	0	100	0.61		
100355	MotionDelay_For2DCompensation	True	INT4	1	ECV	ms	-10	1000	0		
100356	MotionSpeed_For2DCompensation	True	FLOAT8	1	ECV	mm/s	-10	1000	0		
100357	IgnoreInterlockForSortingStage2DCompensation	True	BOOL	1	ECV	Boolean	0	1	0		
100358	SortingStage_2DCompensation_DotDistanceX	True	FLOAT8	1	ECV	mm	-300	300	0		
100359	SortingStage_2DCompensation_DotDistanceY	True	FLOAT8	1	ECV	mm	-300	300	0		
100360	SortingStage_2DCompensation_DotCountX	True	FLOAT8	1	ECV	mm	-300	300	0		
100361	SortingStage_2DCompensation_DotCountY	True	FLOAT8	1	ECV	mm	-300	300	0		
100362	BinCenter_2DCompensation_PBICamAngleMeasurePosX	True	FLOAT8	1	ECV	mm	-300	300	0		
100363	BinCenter_2DCompensation_PBICamAngleMeasurePosY	True	FLOAT8	1	ECV	mm	-300	300	0		
100364	BinRight_2DCompensation_PBICamAngleMeasurePosX	True	FLOAT8	1	ECV	mm	-300	300	0		
100365	BinRight_2DCompensation_PBICamAngleMeasurePosY	True	FLOAT8	1	ECV	mm	-300	300	0		
100366	BinLeft_2DCompensation_PBICamAngleMeasurePosX	True	FLOAT8	1	ECV	mm	-300	300	0		
100367	BinLeft_2DCompensation_PBICamAngleMeasurePosY	True	FLOAT8	1	ECV	mm	-300	300	0		
100368	PBICamAngleMeasureDistance	True	FLOAT8	1	ECV	mm	-300	300	0		
100369	BinCenter_2DCompensation_PBICamAngleMeasureFirstX	True	FLOAT8	1	ECV	mm	-300	300	0		
100370	BinCenter_2DCompensation_PBICamAngleMeasureFirstY	True	FLOAT8	1	ECV	mm	-300	300	0		
100371	BinRight_2DCompensation_PBICamAngleMeasureFirstX	True	FLOAT8	1	ECV	mm	-300	300	0		
100372	BinRight_2DCompensation_PBICamAngleMeasureFirstY	True	FLOAT8	1	ECV	mm	-300	300	0		
100373	BinLeft_2DCompensation_PBICamAngleMeasureFirstX	True	FLOAT8	1	ECV	mm	-300	300	0		
100374	BinLeft_2DCompensation_PBICamAngleMeasureFirstY	True	FLOAT8	1	ECV	mm	-300	300	0		
100375	BinCenter_2DCompensation_PBICamAngleMeasureSecondX	True	FLOAT8	1	ECV	mm	-300	300	0		
100376	BinCenter_2DCompensation_PBICamAngleMeasureSecondY	True	FLOAT8	1	ECV	mm	-300	300	0		
100377	BinRight_2DCompensation_PBICamAngleMeasureSecondX	True	FLOAT8	1	ECV	mm	-300	300	0		
100378	BinRight_2DCompensation_PBICamAngleMeasureSecondY	True	FLOAT8	1	ECV	mm	-300	300	0		
100379	BinLeft_2DCompensation_PBICamAngleMeasureSecondX	True	FLOAT8	1	ECV	mm	-300	300	0		
100380	BinLeft_2DCompensation_PBICamAngleMeasureSecondY	True	FLOAT8	1	ECV	mm	-300	300	0		
100381	BinCenter_PBICamAngle	True	FLOAT8	1	ECV	deg	-300	300	0		
100382	BinRight_PBICamAngle	True	FLOAT8	1	ECV	deg	-300	300	0		
100383	BinLeft_PBICamAngle	True	FLOAT8	1	ECV	deg	-300	300	0		
100384	BinCenter_2DCompensation_StartPositionX	True	FLOAT8	1	ECV	mm	-300	300	0		
100385	BinCenter_2DCompensation_StartPositionY	True	FLOAT8	1	ECV	mm	-300	300	0		
100386	BinRight_2DCompensation_StartPositionX	True	FLOAT8	1	ECV	mm	-300	300	0		
100387	BinRight_2DCompensation_StartPositionY	True	FLOAT8	1	ECV	mm	-300	300	0		
100388	BinLeft_2DCompensation_StartPositionX	True	FLOAT8	1	ECV	mm	-300	300	0		
100389	BinLeft_2DCompensation_StartPositionY	True	FLOAT8	1	ECV	mm	-300	300	0		
100390	BinCenter_JigAngleInspectionResult	True	FLOAT8	1	ECV	deg	-300	300	0		
100391	BinRight_JigAngleInspectionResult	True	FLOAT8	1	ECV	deg	-300	300	0		
100392	BinLeft_JigAngleInspectionResult	True	FLOAT8	1	ECV	deg	-300	300	0		
100393	BinCenter_MountedJigAngle	True	FLOAT8	1	ECV	deg	-300	300	0		
100394	BinRight_MountedJigAngle	True	FLOAT8	1	ECV	deg	-300	300	0		
100395	BinLeft_MountedJigAngle	True	FLOAT8	1	ECV	deg	-300	300	0		
100396	AlignRetryConditionLimitFor2DCompensation	True	INT4	1	ECV	ea	-300	300	0		
100397	AlignRetryCountLimitFor2DCompensation	True	INT4	1	ECV	ea	-300	300	0		
100398	DatabaseStoragePeriodType	True	ASCII	128	ECV				DAY		
100399	DatabaseStorageMonthPeriod	True	INT4	1	ECV	Month	0	24	3	3	
100400	DatabaseStorageDayPeriod	True	INT4	1	ECV	Day	0	365	90	90	
100401	UseSecsGemInterfaces	True	BOOL	1	ECV	Boolean	0	1	0	0	
100402	TimeoutSecsGemMessage	True	INT4	1	ECV	ms	0	10000	5000		
100403	UseCycleTimeLog	True	BOOL	1	ECV	Boolean	0	1	0	0	
100404	UseMapDownloadInLocalMode	True	BOOL	1	ECV	Boolean	0	1	1	0	
100405	UseMapUploadInLocalMode	True	BOOL	1	ECV	Boolean	0	1	0	0	
100406	RecipeUploadPath	True	ASCII	128	ECV				\\ADT02-500BIN\Recipe\RMS\UPLOAD		
100407	RAM_METRICS_EXPORT_PATH	True	ASCII	128	ECV						
100408	EnableDisplayOfTerminalMessage	True	BOOL	1	ECV	Boolean	0	1	0		
100409	EnableAutoPickHeightDuringAutoRun	True	BOOL	1	ECV	Boolean	0	1	0		
100410	AllowValidBincodeForAutoPickHeightDuringAutoRun	True	BOOL	1	ECV	Boolean	0	1	0		
100411	EnableAutoBondingHeightDuringAutoRun	True	BOOL	1	ECV	Boolean	0	1	0		
