[16:15:35:913]	[OPER] Start> Initialize
[18:15:05:546]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:15:05:548]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:15:05:627]	[RECV] _ACK
[18:15:08:528]	[RECV] _RDY
[18:15:08:528]	[OPER] End > ApproachForPlace, Result : Completed
[18:15:08:645]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 2
[18:15:08:649]	[SEND] PLACE 13 SLOT 1 ARM A
[18:15:08:717]	[RECV] _ACK
[18:15:13:242]	[RECV] _RDY
[18:15:13:242]	[OPER] End > Place, Result : Completed
[18:15:13:372]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:15:13:374]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:15:13:452]	[RECV] _ACK
[18:15:16:565]	[RECV] _RDY
[18:15:16:566]	[OPER] End > ApproachForPick, Result : Completed
[18:15:16:684]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:15:16:693]	[SEND] PICK 15 SLOT 1 ARM B
[18:15:16:758]	[RECV] _ACK
[18:15:19:909]	[RECV] _RDY
[18:15:19:909]	[OPER] End > Pick, Result : Completed
[18:15:20:042]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 1
[18:15:20:046]	[SEND] PLACE 11 SLOT 2 ARM B
[18:15:20:115]	[RECV] _ACK
[18:15:28:031]	[RECV] _RDY
[18:15:28:031]	[OPER] End > Place, Result : Completed
[18:15:28:047]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 4
[18:15:28:055]	[SEND] PICK 11 SLOT 5 ARM A
[18:15:28:122]	[RECV] _ACK
[18:15:34:598]	[RECV] _RDY
[18:15:34:599]	[OPER] End > Pick, Result : Completed
[18:15:34:722]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:15:34:724]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:15:34:803]	[RECV] _ACK
[18:15:37:705]	[RECV] _RDY
[18:15:37:706]	[OPER] End > ApproachForPlace, Result : Completed
[18:15:37:829]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 4
[18:15:37:833]	[SEND] PLACE 14 SLOT 1 ARM A
[18:15:37:902]	[RECV] _ACK
[18:15:42:418]	[RECV] _RDY
[18:15:42:419]	[OPER] End > Place, Result : Completed
[18:15:42:555]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:15:42:556]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:15:42:634]	[RECV] _ACK
[18:15:45:742]	[RECV] _RDY
[18:15:45:743]	[OPER] End > ApproachForPick, Result : Completed
[18:15:45:852]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:15:45:862]	[SEND] PICK 16 SLOT 1 ARM B
[18:15:45:929]	[RECV] _ACK
[18:15:49:106]	[RECV] _RDY
[18:15:49:108]	[OPER] End > Pick, Result : Completed
[18:15:49:235]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 8
[18:15:49:240]	[SEND] PLACE 9 SLOT 9 ARM B
[18:15:49:307]	[RECV] _ACK
[18:15:57:218]	[RECV] _RDY
[18:15:57:219]	[OPER] End > Place, Result : Completed
[18:15:57:235]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 3
[18:15:57:243]	[SEND] PICK 4 SLOT 4 ARM A
[18:15:57:308]	[RECV] _ACK
[18:16:03:733]	[RECV] _RDY
[18:16:03:733]	[OPER] End > Pick, Result : Completed
[18:16:03:870]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:16:03:872]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:16:03:950]	[RECV] _ACK
[18:16:06:853]	[RECV] _RDY
[18:16:06:854]	[OPER] End > ApproachForPlace, Result : Completed
[18:16:06:966]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 3
[18:16:06:970]	[SEND] PLACE 13 SLOT 1 ARM A
[18:16:07:039]	[RECV] _ACK
[18:16:11:570]	[RECV] _RDY
[18:16:11:570]	[OPER] End > Place, Result : Completed
[18:16:11:707]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:16:11:709]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:16:11:786]	[RECV] _ACK
[18:16:14:897]	[RECV] _RDY
[18:16:14:898]	[OPER] End > ApproachForPick, Result : Completed
[18:16:15:016]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:16:15:024]	[SEND] PICK 15 SLOT 1 ARM B
[18:16:15:091]	[RECV] _ACK
[18:16:18:264]	[RECV] _RDY
[18:16:18:264]	[OPER] End > Pick, Result : Completed
[18:16:18:391]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 2
[18:16:18:395]	[SEND] PLACE 11 SLOT 3 ARM B
[18:16:18:465]	[RECV] _ACK
[18:16:26:372]	[RECV] _RDY
[18:16:26:374]	[OPER] End > Place, Result : Completed
[18:16:26:389]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 5
[18:16:26:397]	[SEND] PICK 11 SLOT 6 ARM A
[18:16:26:465]	[RECV] _ACK
[18:16:32:935]	[RECV] _RDY
[18:16:32:935]	[OPER] End > Pick, Result : Completed
[18:16:33:068]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:16:33:070]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:16:33:146]	[RECV] _ACK
[18:16:36:050]	[RECV] _RDY
[18:16:36:051]	[OPER] End > ApproachForPlace, Result : Completed
[18:16:36:163]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 5
[18:16:36:167]	[SEND] PLACE 14 SLOT 1 ARM A
[18:16:36:237]	[RECV] _ACK
[18:16:40:753]	[RECV] _RDY
[18:16:40:755]	[OPER] End > Place, Result : Completed
[18:16:40:887]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:16:40:889]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:16:40:968]	[RECV] _ACK
[18:16:44:076]	[RECV] _RDY
[18:16:44:076]	[OPER] End > ApproachForPick, Result : Completed
[18:16:44:195]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:16:44:204]	[SEND] PICK 16 SLOT 1 ARM B
[18:16:44:271]	[RECV] _ACK
[18:16:47:440]	[RECV] _RDY
[18:16:47:440]	[OPER] End > Pick, Result : Completed
[18:16:47:566]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 9
[18:16:47:570]	[SEND] PLACE 9 SLOT 10 ARM B
[18:16:47:639]	[RECV] _ACK
[18:16:55:559]	[RECV] _RDY
[18:16:55:559]	[OPER] End > Place, Result : Completed
[18:16:55:574]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 4
[18:16:55:582]	[SEND] PICK 4 SLOT 5 ARM A
[18:16:55:647]	[RECV] _ACK
[18:17:02:080]	[RECV] _RDY
[18:17:02:082]	[OPER] End > Pick, Result : Completed
[18:17:02:210]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:17:02:213]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:17:02:291]	[RECV] _ACK
[18:17:05:193]	[RECV] _RDY
[18:17:05:195]	[OPER] End > ApproachForPlace, Result : Completed
[18:17:05:309]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 4
[18:17:05:313]	[SEND] PLACE 13 SLOT 1 ARM A
[18:17:05:383]	[RECV] _ACK
[18:17:09:910]	[RECV] _RDY
[18:17:09:910]	[OPER] End > Place, Result : Completed
[18:17:10:044]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:17:10:046]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:17:10:123]	[RECV] _ACK
[18:17:13:235]	[RECV] _RDY
[18:17:13:235]	[OPER] End > ApproachForPick, Result : Completed
[18:17:13:347]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:17:13:355]	[SEND] PICK 15 SLOT 1 ARM B
[18:17:13:422]	[RECV] _ACK
[18:17:16:581]	[RECV] _RDY
[18:17:16:583]	[OPER] End > Pick, Result : Completed
[18:17:16:705]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 3
[18:17:16:709]	[SEND] PLACE 11 SLOT 4 ARM B
[18:17:16:778]	[RECV] _ACK
[18:17:24:699]	[RECV] _RDY
[18:17:24:699]	[OPER] End > Place, Result : Completed
[18:17:24:713]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 6
[18:17:24:721]	[SEND] PICK 11 SLOT 7 ARM A
[18:17:24:788]	[RECV] _ACK
[18:17:31:254]	[RECV] _RDY
[18:17:31:254]	[OPER] End > Pick, Result : Completed
[18:17:31:392]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:17:31:394]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:17:31:471]	[RECV] _ACK
[18:17:34:375]	[RECV] _RDY
[18:17:34:377]	[OPER] End > ApproachForPlace, Result : Completed
[18:17:34:499]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 6
[18:17:34:503]	[SEND] PLACE 14 SLOT 1 ARM A
[18:17:34:572]	[RECV] _ACK
[18:17:39:080]	[RECV] _RDY
[18:17:39:081]	[OPER] End > Place, Result : Completed
[18:17:39:216]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:17:39:218]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:17:39:296]	[RECV] _ACK
[18:17:42:404]	[RECV] _RDY
[18:17:42:405]	[OPER] End > ApproachForPick, Result : Completed
[18:17:42:528]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:17:42:536]	[SEND] PICK 16 SLOT 1 ARM B
[18:17:42:603]	[RECV] _ACK
[18:17:45:751]	[RECV] _RDY
[18:17:45:752]	[OPER] End > Pick, Result : Completed
[18:17:45:873]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 10
[18:17:45:877]	[SEND] PLACE 9 SLOT 11 ARM B
[18:17:45:946]	[RECV] _ACK
[18:17:53:857]	[RECV] _RDY
[18:17:53:859]	[OPER] End > Place, Result : Completed
[18:17:53:874]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 5
[18:17:53:882]	[SEND] PICK 4 SLOT 6 ARM A
[18:17:53:945]	[RECV] _ACK
[18:18:00:350]	[RECV] _RDY
[18:18:00:352]	[OPER] End > Pick, Result : Completed
[18:18:00:482]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:18:00:484]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:18:00:563]	[RECV] _ACK
[18:18:03:465]	[RECV] _RDY
[18:18:03:465]	[OPER] End > ApproachForPlace, Result : Completed
[18:18:03:575]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 5
[18:18:03:581]	[SEND] PLACE 13 SLOT 1 ARM A
[18:18:03:649]	[RECV] _ACK
[18:18:08:167]	[RECV] _RDY
[18:18:08:169]	[OPER] End > Place, Result : Completed
[18:18:08:299]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:18:08:301]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:18:08:380]	[RECV] _ACK
[18:18:11:492]	[RECV] _RDY
[18:18:11:493]	[OPER] End > ApproachForPick, Result : Completed
[18:18:11:602]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:18:11:610]	[SEND] PICK 15 SLOT 1 ARM B
[18:18:11:676]	[RECV] _ACK
[18:18:14:821]	[RECV] _RDY
[18:18:14:822]	[OPER] End > Pick, Result : Completed
[18:18:14:943]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 4
[18:18:14:947]	[SEND] PLACE 11 SLOT 5 ARM B
[18:18:15:017]	[RECV] _ACK
[18:18:22:930]	[RECV] _RDY
[18:18:22:930]	[OPER] End > Place, Result : Completed
[18:18:22:946]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 7
[18:18:22:954]	[SEND] PICK 11 SLOT 8 ARM A
[18:18:23:020]	[RECV] _ACK
[18:18:29:498]	[RECV] _RDY
[18:18:29:500]	[OPER] End > Pick, Result : Completed
[18:18:29:627]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:18:29:629]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:18:29:708]	[RECV] _ACK
[18:18:32:611]	[RECV] _RDY
[18:18:32:611]	[OPER] End > ApproachForPlace, Result : Completed
[18:18:32:735]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 7
[18:18:32:739]	[SEND] PLACE 14 SLOT 1 ARM A
[18:18:32:808]	[RECV] _ACK
[18:18:37:327]	[RECV] _RDY
[18:18:37:328]	[OPER] End > Place, Result : Completed
[18:18:37:463]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:18:37:465]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:18:37:542]	[RECV] _ACK
[18:18:40:652]	[RECV] _RDY
[18:18:40:652]	[OPER] End > ApproachForPick, Result : Completed
[18:18:40:770]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:18:40:778]	[SEND] PICK 16 SLOT 1 ARM B
[18:18:40:844]	[RECV] _ACK
[18:18:43:980]	[RECV] _RDY
[18:18:43:981]	[OPER] End > Pick, Result : Completed
[18:18:44:111]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 11
[18:18:44:115]	[SEND] PLACE 9 SLOT 12 ARM B
[18:18:44:184]	[RECV] _ACK
[18:18:52:105]	[RECV] _RDY
[18:18:52:106]	[OPER] End > Place, Result : Completed
[18:18:52:122]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 6
[18:18:52:130]	[SEND] PICK 4 SLOT 7 ARM A
[18:18:52:194]	[RECV] _ACK
[18:18:58:609]	[RECV] _RDY
[18:18:58:610]	[OPER] End > Pick, Result : Completed
[18:18:58:747]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:18:58:749]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:18:58:827]	[RECV] _ACK
[18:19:01:730]	[RECV] _RDY
[18:19:01:730]	[OPER] End > ApproachForPlace, Result : Completed
[18:19:01:854]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 6
[18:19:01:858]	[SEND] PLACE 13 SLOT 1 ARM A
[18:19:01:927]	[RECV] _ACK
[18:19:06:449]	[RECV] _RDY
[18:19:06:450]	[OPER] End > Place, Result : Completed
[18:19:06:578]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:19:06:581]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:19:06:659]	[RECV] _ACK
[18:19:09:771]	[RECV] _RDY
[18:19:09:771]	[OPER] End > ApproachForPick, Result : Completed
[18:19:09:889]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:19:09:898]	[SEND] PICK 15 SLOT 1 ARM B
[18:19:09:965]	[RECV] _ACK
[18:19:13:091]	[RECV] _RDY
[18:19:13:091]	[OPER] End > Pick, Result : Completed
[18:19:13:220]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 5
[18:19:13:224]	[SEND] PLACE 11 SLOT 6 ARM B
[18:19:13:293]	[RECV] _ACK
[18:19:21:209]	[RECV] _RDY
[18:19:21:209]	[OPER] End > Place, Result : Completed
[18:19:21:225]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 8
[18:19:21:233]	[SEND] PICK 11 SLOT 9 ARM A
[18:19:21:300]	[RECV] _ACK
[18:19:27:772]	[RECV] _RDY
[18:19:27:773]	[OPER] End > Pick, Result : Completed
[18:19:27:906]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:19:27:908]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:19:27:986]	[RECV] _ACK
[18:19:30:889]	[RECV] _RDY
[18:19:30:889]	[OPER] End > ApproachForPlace, Result : Completed
[18:19:31:009]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 8
[18:19:31:013]	[SEND] PLACE 14 SLOT 1 ARM A
[18:19:31:081]	[RECV] _ACK
[18:19:35:601]	[RECV] _RDY
[18:19:35:602]	[OPER] End > Place, Result : Completed
[18:19:35:732]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:19:35:734]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:19:35:812]	[RECV] _ACK
[18:19:38:921]	[RECV] _RDY
[18:19:38:923]	[OPER] End > ApproachForPick, Result : Completed
[18:19:39:035]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:19:39:042]	[SEND] PICK 16 SLOT 1 ARM B
[18:19:39:108]	[RECV] _ACK
[18:19:42:238]	[RECV] _RDY
[18:19:42:240]	[OPER] End > Pick, Result : Completed
[18:19:42:365]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 12
[18:19:42:369]	[SEND] PLACE 9 SLOT 13 ARM B
[18:19:42:436]	[RECV] _ACK
[18:19:50:351]	[RECV] _RDY
[18:19:50:351]	[OPER] End > Place, Result : Completed
[18:19:50:367]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 7
[18:19:50:376]	[SEND] PICK 4 SLOT 8 ARM A
[18:19:50:441]	[RECV] _ACK
[18:19:57:245]	[RECV] _RDY
[18:19:57:246]	[OPER] End > Pick, Result : Completed
[18:19:57:379]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:19:57:381]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:19:57:459]	[RECV] _ACK
[18:20:00:362]	[RECV] _RDY
[18:20:00:363]	[OPER] End > ApproachForPlace, Result : Completed
[18:20:00:487]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 7
[18:20:00:494]	[SEND] PLACE 13 SLOT 1 ARM A
[18:20:00:563]	[RECV] _ACK
[18:20:05:092]	[RECV] _RDY
[18:20:05:092]	[OPER] End > Place, Result : Completed
[18:20:05:231]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:20:05:232]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:20:05:312]	[RECV] _ACK
[18:20:08:423]	[RECV] _RDY
[18:20:08:425]	[OPER] End > ApproachForPick, Result : Completed
[18:20:08:548]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:20:08:558]	[SEND] PICK 15 SLOT 1 ARM B
[18:20:08:625]	[RECV] _ACK
[18:20:11:764]	[RECV] _RDY
[18:20:11:765]	[OPER] End > Pick, Result : Completed
[18:20:11:891]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 6
[18:20:11:895]	[SEND] PLACE 11 SLOT 7 ARM B
[18:20:11:964]	[RECV] _ACK
[18:20:19:876]	[RECV] _RDY
[18:20:19:878]	[OPER] End > Place, Result : Completed
[18:20:19:893]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 9
[18:20:19:901]	[SEND] PICK 11 SLOT 10 ARM A
[18:20:19:972]	[RECV] _ACK
[18:20:26:850]	[RECV] _RDY
[18:20:26:852]	[OPER] End > Pick, Result : Completed
[18:20:26:976]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:20:26:978]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:20:27:056]	[RECV] _ACK
[18:20:29:959]	[RECV] _RDY
[18:20:29:961]	[OPER] End > ApproachForPlace, Result : Completed
[18:20:30:072]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 9
[18:20:30:076]	[SEND] PLACE 14 SLOT 1 ARM A
[18:20:30:146]	[RECV] _ACK
[18:20:34:656]	[RECV] _RDY
[18:20:34:657]	[OPER] End > Place, Result : Completed
[18:20:34:783]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:20:34:785]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:20:34:862]	[RECV] _ACK
[18:20:37:969]	[RECV] _RDY
[18:20:37:970]	[OPER] End > ApproachForPick, Result : Completed
[18:20:38:093]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:20:38:101]	[SEND] PICK 16 SLOT 1 ARM B
[18:20:38:167]	[RECV] _ACK
[18:20:41:291]	[RECV] _RDY
[18:20:41:293]	[OPER] End > Pick, Result : Completed
[18:20:41:413]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 1
[18:20:41:417]	[SEND] PLACE 9 SLOT 2 ARM B
[18:20:41:484]	[RECV] _ACK
[18:20:49:410]	[RECV] _RDY
[18:20:49:410]	[OPER] End > Place, Result : Completed
[18:20:49:426]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 8
[18:20:49:434]	[SEND] PICK 4 SLOT 9 ARM A
[18:20:49:499]	[RECV] _ACK
[18:20:56:983]	[RECV] _RDY
[18:20:56:984]	[OPER] End > Pick, Result : Completed
[18:20:57:116]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:20:57:118]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:20:57:197]	[RECV] _ACK
[18:21:00:099]	[RECV] _RDY
[18:21:00:099]	[OPER] End > ApproachForPlace, Result : Completed
[18:21:00:219]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 8
[18:21:00:224]	[SEND] PLACE 13 SLOT 1 ARM A
[18:21:00:293]	[RECV] _ACK
[18:21:04:812]	[RECV] _RDY
[18:21:04:813]	[OPER] End > Place, Result : Completed
[18:21:04:950]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:21:04:952]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:21:05:031]	[RECV] _ACK
[18:21:08:141]	[RECV] _RDY
[18:21:08:141]	[OPER] End > ApproachForPick, Result : Completed
[18:21:08:256]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:21:08:264]	[SEND] PICK 15 SLOT 1 ARM B
[18:21:08:332]	[RECV] _ACK
[18:21:11:463]	[RECV] _RDY
[18:21:11:465]	[OPER] End > Pick, Result : Completed
[18:21:11:600]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 7
[18:21:11:604]	[SEND] PLACE 11 SLOT 8 ARM B
[18:21:11:674]	[RECV] _ACK
[18:21:19:590]	[RECV] _RDY
[18:21:19:592]	[OPER] End > Place, Result : Completed
[18:21:19:607]	[OPER] Start> Pick, Arm : UpperArm, Location : LP5, Slot : 10
[18:21:19:615]	[SEND] PICK 11 SLOT 11 ARM A
[18:21:19:686]	[RECV] _ACK
[18:21:26:597]	[RECV] _RDY
[18:21:26:598]	[OPER] End > Pick, Result : Completed
[18:21:26:735]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.CoreInput, Slot : 0
[18:21:26:737]	[SEND] GOTO N 14 R RE Z UP SLOT 1 ARM A
[18:21:26:815]	[RECV] _ACK
[18:21:29:717]	[RECV] _RDY
[18:21:29:717]	[OPER] End > ApproachForPlace, Result : Completed
[18:21:29:824]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.CoreInput, Slot : 10
[18:21:29:828]	[SEND] PLACE 14 SLOT 1 ARM A
[18:21:29:897]	[RECV] _ACK
[18:21:34:421]	[RECV] _RDY
[18:21:34:422]	[OPER] End > Place, Result : Completed
[18:21:34:552]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:21:34:554]	[SEND] GOTO N 16 R RE Z DN SLOT 1 ARM B
[18:21:34:632]	[RECV] _ACK
[18:21:37:739]	[RECV] _RDY
[18:21:37:741]	[OPER] End > ApproachForPick, Result : Completed
[18:21:37:862]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.SortOutput, Slot : 0
[18:21:37:870]	[SEND] PICK 16 SLOT 1 ARM B
[18:21:37:937]	[RECV] _ACK
[18:21:41:066]	[RECV] _RDY
[18:21:41:067]	[OPER] End > Pick, Result : Completed
[18:21:41:195]	[OPER] Start> Place, Arm : LowerArm, Location : LP3, Slot : 2
[18:21:41:199]	[SEND] PLACE 9 SLOT 3 ARM B
[18:21:41:266]	[RECV] _ACK
[18:21:49:184]	[RECV] _RDY
[18:21:49:186]	[OPER] End > Place, Result : Completed
[18:21:49:201]	[OPER] Start> Pick, Arm : UpperArm, Location : LP4, Slot : 9
[18:21:49:209]	[SEND] PICK 4 SLOT 10 ARM A
[18:21:49:274]	[RECV] _ACK
[18:21:56:769]	[RECV] _RDY
[18:21:56:771]	[OPER] End > Pick, Result : Completed
[18:21:56:897]	[OPER] Start> ApproachForPlace, Arm : UpperArm, Location : PM1.SortInput, Slot : 0
[18:21:56:899]	[SEND] GOTO N 13 R RE Z UP SLOT 1 ARM A
[18:21:56:977]	[RECV] _ACK
[18:21:59:879]	[RECV] _RDY
[18:21:59:879]	[OPER] End > ApproachForPlace, Result : Completed
[18:21:59:992]	[OPER] Start> Place, Arm : UpperArm, Location : PM1.SortInput, Slot : 9
[18:21:59:996]	[SEND] PLACE 13 SLOT 1 ARM A
[18:22:00:066]	[RECV] _ACK
[18:22:04:598]	[RECV] _RDY
[18:22:04:599]	[OPER] End > Place, Result : Completed
[18:22:04:729]	[OPER] Start> ApproachForPick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:22:04:731]	[SEND] GOTO N 15 R RE Z DN SLOT 1 ARM B
[18:22:04:811]	[RECV] _ACK
[18:22:07:921]	[RECV] _RDY
[18:22:07:921]	[OPER] End > ApproachForPick, Result : Completed
[18:22:08:043]	[OPER] Start> Pick, Arm : LowerArm, Location : PM1.CoreOutput, Slot : 0
[18:22:08:051]	[SEND] PICK 15 SLOT 1 ARM B
[18:22:08:117]	[RECV] _ACK
[18:22:11:240]	[RECV] _RDY
[18:22:11:241]	[OPER] End > Pick, Result : Completed
[18:22:11:367]	[OPER] Start> Place, Arm : LowerArm, Location : LP5, Slot : 8
[18:22:11:371]	[SEND] PLACE 11 SLOT 9 ARM B
[18:22:11:440]	[RECV] _ACK
[18:22:19:351]	[RECV] _RDY
[18:22:19:353]	[OPER] End > Place, Result : Completed
